1;Житловий будинок (мур.);с.19ст.;вул. Бачинського, 2;413-іф
2;Житловий будинок (мур.);1920-і рр.;вул. Бачинського, 3  (вул. Січових Стрільців, 11);414-іф
3;Житловий будинок (мур.);с. 19 ст.;вул. Бачинського,4;415-іф
4;Житловий будинок (мур.);1932р.;вул. Бельведерська, 1;514
5;Житловий будинок (мур.);1937 р.;вул. Бельведерська, 2;1038
6;Житловий будинок (мур.);1936 р.;вул. Бельведерська,3;1039
7;Житловий будинок (мур.);к.19 ст.;вул. Бельведерська,4;224-іф
8;Житловий будинок (мур.);п. 20 ст.;вул. Бельведерська, 5;1040
9;Житловий будинок (мур.);к.19-п.20ст.;вул. Бельведерська, 6;225-іф
10;Житловий будинок (мур.);1897 р.;вул. Бельведерська, 8;226-іф
11;Житловий будинок (мур.);1887 р.;вул. Бельведерська, 10;1041
12;Житловий будинок (мур.);п. 20 ст.;вул. Бельведерська, 11;227-іф
13;Житловий будинок (мур.);п. 20 ст.;вул. Богунська, 3;1-іф
14;Житловий будинок (мур.);1897 р.;вул. І. Вагилевича, 6;337-іф
15;Житловий будинок (мур.);1906 р.;вул. І. Вагилевича, 10;338-іф
16;Житловий будинок (мур.);1890-і рр.;вул. Валова, 4;7-іф
17;Житловий будинок (мур.);п. 20 ст.;вул. Валова, 10 ;8-іф
18;Житловий будинок (мур.);п.20 ст.;вул. Василіянок, 3;241-іф
19;Житловий будинок (мур.);1911 р.;вул. Василіянок, 5;242-іф
20;Житловий будинок (мур.);1870-і рр.;вул. Василіянок, 11;1071
21;Житловий будинок (мур.);п.20 ст.;вул. Василіянок, 11а;1072
22;Житловий будинок (мур.);к.19-п.20ст.;вул. Василіянок, 13;243-іф
23;Житловий будинок (мур.);1870-і рр.;вул. Василіянок, 15;1073
24;Жіноча вчительська семінарія сестер-василіянок (мур.);1912-1938 рр.;вул. Василіянок, 17;244-іф
25;Адмінбудинок (мур.);1958р.;вул. Василіянок, 64;245-Іф
26;Житловий будинок (мур.);18-19ст.;вул. Вірменська, 2;78-іф
27;Житловий будинок (мур.);1908 р.;вул. Вірменська, 3;79-іф
28;Житловий будинок (мур.);1890-і рр.;вул. Вірменська, 4;80-іф
29;Житловий будинок (мур.);1903 р.;вул. Вірменська, 5;81-іф
30;Келії Вірменського костелу (мур.);1762р.;вул. Вірменська, 8;1042
31;Житловий будинок (мур.);1892 р.;вул. Д. Вітовського, 7 ;411-іф
32;Житловий будинок (мур.) ;1912р.;вул. Д. Вітовського, 11;1043
33;Житловий будинок(мур.);1913 р.;вул. Д. Вітовського, 19;412-іф
34;Житловий будинок (мур.);1872 р.;майдан Вічевий, 2;258-іф
35;Житловий будинок (мур.);1880-і рр.;майдан Вічевий, 3;259-іф
36;Житловий будинок (мур.);с.20 ст.;вул. Вовчинецька, 4;9-іф
37;Церква св.Обручника Йосифа (мур.);1912 р.;вул. Вовчинецька, 54;516
38;Римо-католицький костел (мур.);1927-1939 рр.;вул. Вовчинецька, 92;10-іф
39;Житловий будинок (мур.);1933 р.;вул. Галицька, 1;1045
40;Австрійська дирекція залізниці, пізніше польський магістрат (мур:);1894р.;вул. Галицька, 2;11-іф
41;Житловий будинок (мур.);1932 р.;вул. Галицька, 3;1046
42;Житловий будинок (мур.);1933 р.;вул. Галицька, 5;1047
43;Ратуша (мур.);1929-1935 рр.;вул. Галицька, 4а;12-іф
44;Військова адміністрація та гауптвахта (мур.);1827р.;вул. Галицька, 7;13-іф
45;Житловий будинок (мур.);с. 19 ст.;вул. Галицька, 9;14-іф
46;Житловий будинок (мур.);п.19ст.;вул. Галицька, 10;15-іф
47;Житловий будинок (мур.);п.20 ст.;вул. Галицька, 11;16-іф
48;Житловий будинок (мур.);п.19 ст.;вул. Галицька, 12;17-іф
49;Лікарня при колегіаті (мур.);1737 р.;вул. Галицька. 14;457
50;Житловий будинок (мур.);к.19-п.20ст.;вул. Галицька, 16;20-іф
51;Житловий будинок (мур.);1835 р.;вул. Галицька, 29;27-іф
52;Житловий будинок (мур.);к.19-п.20ст.;вул. Галицька, 33;29-іф
53;Житловий будинок (мур.);1840 р.;вул. Галицька, 35;30-іф
54;Житловий будинок (мур.);1829 р.;вул. Галицька, 37;31-іф
55;Житловий будинок (мур.);1846 р.;вул. Галицька, 39;32-іф
56;Житловий будинок римо-католицького духовенства (мур.);18-19ст.;вул. Галицька, 41;47
57;Житловий будинок (мур.);п.20 ст.;вул. Галицька, 45;33-іф
58;Житловий будинок (мур.);1900-і  рр.;вул. Гаркуші, 3;35-іф
59;Житловий будинок (мур.);1914 р.;вул. Гаркуші, 4;36-іф
60;Житловий будинок (мур.);1898 р.;вул. Гаркуші, 7;37-іф
61;Житловий будинок (мур.);1900-і рр.;вул. Гаркуші, 8;38-іф
62;Житловий будинок (мур.);п. 20 ст.;вул. Гаркуші, 9;39-іф
63;Житловий будинок (мур.);п. 20 ст.;вул. Гаркуші, 28;40-іф
64;Житловий будинок (мур.); к.19-п.20 ст.;вул. Ак. Гнатюка, 1;119-іф
65;Житловий будинок (мур.);к.19-п.20 ст.;вул. Ак. Гнатюка, 2;120-іф
66;Житловий будинок (мур.);к.19-п.20 ст.;вул. Ак. Гнатюка, 3;121-іф
67;Житловий будинок (мур.);к.19-п.20ст.;вул. Ак. Гнатюка, 10;122-іф
68;Житловий будинок (мур.);к.19-п.20ст.;вул. Ак. Гнатюка, 12;123-іф
69;Бурса українського педагогічного товариства (мур.);1900-і рр.;вул. Ак. Гнатюка, 13;124-іф
70;Житловий будинок (мур.);к.19-п.20ст.;вул. Ак. Гнатюка, 14;125-іф
71;Житловий будинок (мур.);к.19-п.20 ст.;вул. Ак. Гнатюка, 15;126-іф
72;Житловий будинок (мур.);к.19-п.20ст.;вул. Ак. Гнатюка, 16;127-іф
73;Житловий будинок (мур.);к.19-п.20ст.;вул. Ак. Гнатюка, 17;128-іф
74;Житловий будинок (мур.);к.19-п.20ст.;вул. Ак. Гнатюка, 18;129-іф
75;Житловий будинок (мур.);к.19-п.20ст.;вул. Ак. Гнатюка, 19;130-іф
76;Житловий будинок (мур.);к.19-п.20ст.;вул. Ак. Гнатюка, 20;131-іф
77;Житловий будинок (мур.);к.19-п.20ст.;вул. Ак. Гнатюка, 21;132-іф
78;Житловий будинок (мур.);к.19-п.20 ст.;вул. Ак. Гнатюка, 22;133-іф
79;Житловий будинок (мур.);к.19-п.20ст.;вул. Ак. Гнатюка, 23;134-іф
80;Житловий будинок (мур.);к.19-п.20 ст.;вул. Ак. Гнатюка, 24;135-іф
81;Житловий будинок (мур.);к.19-п.20ст.;вул. Ак. Гнатюка, 25;136-іф
82;Житловий будинок (мур.);к.19-п.20ст.;вул. Ак. Гнатюка, 26;137-іф
83;Житловий будинок (мур.);1910р.;вул. С. Гординського, 2;246-іф
